SKU,Name,Images
VV-005-100,"5mm braided cord (100) as Snowflower","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084857231.MP_-scaled-e1709320283606.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg"
VV-005-012,"5mm braided cord (012) as Mother-in-law's Tongue","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_085424898.MP_-1-scaled-e1709414029136.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg"
VV-005-101,"5mm braided cord (101) as Elderberry flower","https://www.bigcord.eu/wp-content/uploads/2024/02/baza.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8424-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg"
VV-005-102,"5mm braided cord (102) as Linen","https://www.bigcord.eu/wp-content/uploads/2024/02/lan.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8424-scaled.jpg"
VV-005-104,"5mm braided cord (104) as Cappuccino","https://www.bigcord.eu/wp-content/uploads/2024/02/kapucko.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8424-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg"
VV-005-105,"5mm braided cord (105) as Limestone","https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8388.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8424-scaled.jpg"
VV-005-107,"5mm braided cord (107) as Primrose","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084112341.MP_-scaled-e1709412893432.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-7.jpg"
VV-005-109,"5mm braided cord (109) as Mustard","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084133603.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg"
VV-005-110,"5mm braided cord (110) as Sandstone","https://www.bigcord.eu/wp-content/uploads/2024/02/pieskovec.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-2-1.jpg"
VV-005-111,"5mm braided cord (111) as Chestnut","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_083846349.MP_-scaled-e1709410899467.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg"
VV-005-114,"5mm braided cord (114) as Burgundy Peony","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_090112452.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-7.jpg"
